"phase","Stratum","Tree.min","Tree.max","Shrub.min","Shrub.max","Grass.min","Grass.max","Forb.min","Forb.max"
"01drained swamp","f1",0,2,1.5,30,0,15,70,85
"01drained swamp","f2",0,2,1.5,30,0,15,70,85
"01drained swamp","f3",0,2,5,50,0,15,70,95
"01drained swamp","s1",0,3,5,25,0,5,5,50
"01drained swamp","s2",15,75,5,30,0,0,3,25
"01drained swamp","t1",45,85,0,2,,,,
"01drained swamp","t2",20,55,,,,,,
"02silver maple green ash swamp","f1",0,10,0.1,5,0,0.5,2,35
"02silver maple green ash swamp","f2",0,10,0.1,5,0,0.5,2,35
"02silver maple green ash swamp","f3",0,10,1,55,0,5,4,40
"02silver maple green ash swamp","s1",0,5,0,55,0,20,1,20
"02silver maple green ash swamp","s2",5,15,0,55,0,2,0,0
"02silver maple green ash swamp","t1",60,95,0,0.1,,,,
"02silver maple green ash swamp","t2",55,95,,,,,,
"04tamarack","f1",0,1.5,0.1,5,0,3,15,60
"04tamarack","f2",0,1.5,0.1,5,0,3,15,60
"04tamarack","f3",0,1.5,10,55,0.5,5,20,70
"04tamarack","s1",3,15,10,50,1,50,3,60
"04tamarack","s2",10,45,10,50,0,0,0.1,15
"04tamarack","t1",10,75,0,0.5,,,,
"04tamarack","t2",0.4,55,,,,,,
"06fen","f1",0,1,2,40,4,10,0,1
"06fen","f2",0,1,2,40,5,10,0.5,3
"06fen","f3",0,1,5,55,25,80,2,10
"06fen","s1",0.1,2,0.5,3,5,80,3,45
"06fen","s2",0.1,2,0.5,3,0,3,0.1,2
"06fen","t1",0,0,0,0,,,,
"06fen","t2",0,0,,,,,,
"07marsh","f1",0,0,0,3,0.5,85,1.5,15
"07marsh","f2",0,0,0,3,0.5,85,1.5,15
"07marsh","f3",0,0,0,20,1,85,1.5,15
"07marsh","s1",0,0.5,0,15,4,95,0,2
"07marsh","s2",0,0.5,0,15,0,0.1,0,1
"07marsh","t1",0,5,0,0,,,,
"07marsh","t2",0,5,,,,,,
"08wet meadow","f1",0,0.4,0.1,1.5,0,0.4,5,85
"08wet meadow","f2",0,0.4,0.1,1.5,0,4,5,80
"08wet meadow","f3",0,0.4,0.3,50,0,5,5,85
"08wet meadow","s1",0,1,0,55,45,90,1,35
"08wet meadow","s2",0,1,0,55,0,35,0.1,25
"08wet meadow","t1",0,4,0,0,,,,
"08wet meadow","t2",0,1,,,,,,
"09reed canary grass","f1",0,0,0,1,0,0,0,5
"09reed canary grass","f2",0,0,0,1,0,0,0.1,5
"09reed canary grass","f3",0,0,0.1,30,0,0.5,1,15
"09reed canary grass","s1",0,2,0,35,75,100,0.4,15
"09reed canary grass","s2",0,10,0,35,25,100,0,1.5
"09reed canary grass","t1",0,30,0,0,,,,
"09reed canary grass","t2",0,25,,,,,,
"bog","f1",0,0.4,0,20,0,0,0,25
"bog","f2",0,0.4,0,20,0,0,0,25
"bog","f3",0,0.4,55,95,0,0,0,25
"bog","s1",0,0,55,95,0,4,0,2
"bog","s2",0,2,55,95,0,4,0,1.5
"bog","t1",5,40,0,0,,,,
"bog","t2",3,40,,,,,,
